,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
0,within a few hours,100%,50%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,7,14.0,5.0,5.0,14.0,14.0,5.0,14.0,t,6.0,7.0,17.0,18.0,27.0,0.0,0.0,18,1.0,0.0,0.0,4.85,4.67,4.67,4.89,5.0,4.83,4.72,f,1.0,1.0,0.0,0.0,1.06,Copenhagen,Entire Standard,Entire,Standard
2,within an hour,100%,100%,t,3.0,4.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,3.0,2282.0,3,5.0,3.0,3.0,5.0,5.0,3.0,5.0,t,0.0,4.0,4.0,4.0,85.0,3.0,1.0,4,3.0,18.0,41076.0,4.91,4.96,4.93,4.88,4.91,4.89,4.71,f,2.0,1.0,1.0,0.0,1.06,Copenhagen,Entire Standard,Entire,Standard
4,within an hour,100%,100%,t,1.0,4.0,t,Indre By,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,2.0,2223.0,5,70.0,1.0,6.0,1125.0,1125.0,4.9,1125.0,t,4.0,8.0,8.0,8.0,37.0,13.0,3.0,8,10.0,130.0,288990.0,4.91,4.81,4.87,4.84,5.0,4.94,4.87,f,1.0,1.0,0.0,0.0,0.96,Copenhagen,Entire Standard,Entire,Standard
5,within an hour,100%,63%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,1760.0,2,30.0,2.0,6.0,30.0,30.0,2.1,30.0,t,3.0,9.0,10.0,226.0,117.0,20.0,2.0,47,20.0,120.0,211200.0,4.85,4.83,4.98,4.9,4.94,4.75,4.66,f,1.0,1.0,0.0,0.0,1.54,Copenhagen,Entire Standard,Entire,Standard
6,within an hour,100%,88%,t,1.0,1.0,t,Nørrebro,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,470.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,5.0,6.0,6.0,15.0,126.0,10.0,0.0,15,13.0,60.0,28200.0,4.78,4.71,4.65,4.83,4.79,4.58,4.6,f,1.0,0.0,1.0,0.0,3.56,Copenhagen,Hotel,Hotel,Hotel
10,within a few hours,100%,78%,f,2.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,2015.0,6,40.0,6.0,6.0,40.0,40.0,6.0,40.0,t,8.0,12.0,23.0,113.0,43.0,6.0,0.0,113,6.0,72.0,145080.0,4.83,4.76,4.62,4.86,4.86,4.83,4.69,f,1.0,1.0,0.0,0.0,1.5,Copenhagen,Entire Standard,Entire,Standard
11,within an hour,100%,100%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,7.0,2.0,2 baths,4.0,4.0,2531.0,3,25.0,2.0,2.0,25.0,25.0,2.0,25.0,t,4.0,5.0,6.0,47.0,58.0,6.0,0.0,6,6.0,36.0,91116.0,4.74,4.74,4.83,4.76,4.91,4.95,4.62,t,1.0,1.0,0.0,0.0,0.87,Copenhagen,Entire Standard,Entire,Standard
12,within a day,50%,53%,f,3.0,3.0,t,Østerbro,Hotel,Private room,2.0,1.0,1 bath,1.0,2.0,1596.0,1,30.0,1.0,1.0,30.0,30.0,1.0,30.0,t,30.0,60.0,90.0,365.0,22.0,0.0,0.0,187,0.0,0.0,0.0,4.8,4.85,4.85,4.9,4.9,4.7,4.6,f,2.0,0.0,2.0,0.0,3.57,Copenhagen,Hotel,Hotel,Hotel
14,within an hour,100%,88%,t,1.0,2.0,t,Indre By,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,2900.0,2,30.0,2.0,5.0,30.0,30.0,2.2,30.0,t,5.0,6.0,6.0,48.0,120.0,7.0,2.0,16,9.0,42.0,121800.0,4.9,4.9,4.74,4.89,4.89,4.96,4.75,f,1.0,1.0,0.0,0.0,1.47,Copenhagen,Entire Standard,Entire,Standard
15,within a few hours,71%,14%,t,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,933.0,4,90.0,4.0,4.0,90.0,90.0,4.0,90.0,t,6.0,8.0,30.0,305.0,16.0,2.0,0.0,124,3.0,16.0,14928.0,4.94,5.0,4.75,5.0,5.0,5.0,4.75,f,1.0,1.0,0.0,0.0,2.5,Copenhagen,Entire Standard,Entire,Standard
16,within a day,100%,52%,t,2.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,1050.0,3,25.0,3.0,3.0,25.0,25.0,3.0,25.0,t,0.0,0.0,10.0,116.0,45.0,5.0,0.0,107,4.0,30.0,31500.0,4.68,4.62,4.24,4.75,4.86,4.76,4.53,f,2.0,1.0,1.0,0.0,1.66,Copenhagen,Entire Standard,Entire,Standard
17,within a few hours,100%,54%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,5.0,1.0,1 bath,4.0,4.0,1444.0,3,1120.0,3.0,3.0,1120.0,1120.0,3.0,1120.0,t,0.0,1.0,1.0,19.0,38.0,2.0,0.0,14,1.0,12.0,17328.0,4.79,4.87,4.82,4.95,4.95,4.92,4.74,f,1.0,1.0,0.0,0.0,2.2,Copenhagen,Entire Standard,Entire,Standard
18,within an hour,100%,79%,f,8.0,8.0,t,Vesterbro-Kongens Enghave,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,598.0,1,300.0,1.0,1.0,300.0,300.0,1.0,300.0,t,23.0,53.0,83.0,173.0,648.0,74.0,5.0,173,71.0,255.0,152490.0,4.71,4.79,4.46,4.91,4.9,4.88,4.68,f,7.0,1.0,6.0,0.0,1.55,Copenhagen,Hotel,Hotel,Hotel
20,within a day,83%,0%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,0.5,Half-bath,1.0,1.0,909.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,8.0,12.0,37.0,37.0,19.0,0.0,0.0,37,0.0,0.0,0.0,4.94,4.89,4.94,5.0,4.95,4.84,4.84,f,1.0,1.0,0.0,0.0,2.54,Copenhagen,Entire Standard,Entire,Standard
21,within an hour,90%,96%,t,1.0,1.0,t,Vesterbro-Kongens Enghave,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,336.0,1,3.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0.0,0.0,2.0,25.0,263.0,16.0,2.0,2,24.0,96.0,32256.0,4.78,4.83,4.76,4.97,4.97,4.83,4.71,t,1.0,0.0,1.0,0.0,1.46,Copenhagen,Hotel,Hotel,Hotel
22,within a few hours,100%,98%,t,1.0,1.0,t,Nørrebro,Entire Luxury,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2012.0,3,40.0,3.0,3.0,40.0,40.0,3.0,40.0,t,10.0,26.0,42.0,317.0,223.0,27.0,3.0,139,30.0,162.0,325944.0,4.79,4.85,4.26,4.87,4.89,4.89,4.58,f,1.0,1.0,0.0,0.0,1.59,Copenhagen,Entire Luxury,Entire,Luxury
23,a few days or more,33%,40%,f,1.0,1.0,t,Bispebjerg,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,765.0,3,730.0,3.0,3.0,730.0,730.0,3.0,730.0,t,0.0,3.0,3.0,213.0,18.0,1.0,0.0,34,1.0,6.0,4590.0,4.78,4.72,4.61,4.94,4.94,4.44,4.56,f,1.0,1.0,0.0,0.0,3.34,Copenhagen,Entire Standard,Entire,Standard
24,within an hour,100%,100%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1461.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,11.0,13.0,13.0,13.0,73.0,5.0,0.0,13,8.0,30.0,43830.0,4.93,4.97,4.93,4.9,4.96,4.8,4.85,f,1.0,1.0,0.0,0.0,2.0,Copenhagen,Entire Standard,Entire,Standard
25,within a day,80%,0%,f,2.0,4.0,t,Nørrebro,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,628.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,0.0,0.0,25.0,300.0,5.0,0.0,0.0,122,0.0,0.0,0.0,4.8,4.8,4.6,4.8,5.0,4.8,4.8,f,2.0,1.0,1.0,0.0,2.81,Copenhagen,Hotel,Hotel,Hotel
27,within a day,100%,0%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,1791.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,0.0,0.0,0.0,71.0,13.0,2.0,0.0,71,2.0,12.0,21492.0,5.0,5.0,5.0,4.92,5.0,5.0,4.92,f,1.0,1.0,0.0,0.0,1.47,Copenhagen,Entire Standard,Entire,Standard
30,within a few hours,100%,93%,t,3.0,3.0,t,Vesterbro-Kongens Enghave,Hotel,Private room,1.0,1.0,1 shared bath,2.0,1.0,285.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,9.0,18.0,24.0,78.0,459.0,32.0,1.0,31,28.0,192.0,54720.0,4.73,4.83,4.74,4.89,4.9,4.47,4.73,f,3.0,1.0,2.0,0.0,4.34,Copenhagen,Hotel,Hotel,Hotel
33,within a few hours,100%,14%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,0.0,0 baths,2.0,2.0,1058.0,4,10.0,4.0,4.0,10.0,10.0,4.0,10.0,t,3.0,5.0,13.0,13.0,22.0,1.0,0.0,13,0.0,8.0,8464.0,4.86,4.82,4.91,4.86,4.86,4.82,4.68,f,1.0,1.0,0.0,0.0,2.19,Copenhagen,Entire Standard,Entire,Standard
34,within a day,56%,0%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,5.0,6.0,1710.0,7,60.0,7.0,7.0,60.0,60.0,7.0,60.0,t,20.0,27.0,54.0,54.0,3.0,0.0,0.0,54,0.0,0.0,0.0,4.67,4.67,4.33,5.0,5.0,4.67,4.0,f,1.0,1.0,0.0,0.0,1.0,Copenhagen,Entire Standard,Entire,Standard
40,within a day,83%,50%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,3.0,1.5,1.5 baths,1.0,1.0,4167.0,3,60.0,3.0,3.0,60.0,60.0,3.0,60.0,t,21.0,45.0,71.0,346.0,27.0,0.0,0.0,168,0.0,0.0,0.0,4.93,4.96,4.93,4.89,4.96,4.89,4.67,f,1.0,1.0,0.0,0.0,0.94,Copenhagen,Entire Standard,Entire,Standard
43,within a day,70%,75%,t,1.0,2.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,875.0,4,28.0,1.0,4.0,28.0,28.0,3.3,28.0,t,1.0,11.0,27.0,28.0,30.0,15.0,0.0,28,18.0,120.0,105000.0,4.87,4.87,4.73,4.93,4.9,4.9,4.8,f,1.0,1.0,0.0,0.0,1.38,Copenhagen,Entire Standard,Entire,Standard
45,within an hour,100%,100%,t,3.0,3.0,t,Vesterbro-Kongens Enghave,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,1593.0,1,5.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,3.0,11.0,29.0,29.0,900.0,74.0,5.0,29,62.0,255.0,406215.0,4.72,4.81,4.68,4.86,4.83,4.88,4.71,t,3.0,0.0,3.0,0.0,0.83,Copenhagen,Hotel,Hotel,Hotel
48,within an hour,100%,100%,t,3.0,3.0,t,Vesterbro-Kongens Enghave,Hotel,Private room,1.0,1.0,1 shared bath,2.0,1.0,1190.0,1,5.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,6.0,6.0,6.0,84.0,378.0,2.0,0.0,6,1.0,12.0,14280.0,4.58,4.65,4.51,4.79,4.7,4.86,4.58,t,3.0,0.0,3.0,0.0,0.83,Copenhagen,Hotel,Hotel,Hotel
49,within an hour,100%,100%,t,2.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,5.0,1.5,1.5 baths,2.0,3.0,2633.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,5.0,7.0,8.0,238.0,109.0,18.0,3.0,59,15.0,108.0,284364.0,4.9,4.91,4.76,4.89,4.95,4.92,4.72,f,1.0,1.0,0.0,0.0,1.37,Copenhagen,Entire Standard,Entire,Standard
50,within a day,80%,47%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1243.0,2,3.0,1.0,2.0,3.0,3.0,2.0,3.0,t,8.0,12.0,13.0,281.0,227.0,11.0,3.0,103,11.0,66.0,82038.0,4.74,4.83,4.91,4.72,4.83,4.97,4.71,f,1.0,1.0,0.0,0.0,0.74,Copenhagen,Entire Standard,Entire,Standard
51,within a few hours,100%,50%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,4.0,2040.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,14.0,16.0,16.0,199.0,32.0,3.0,0.0,19,2.0,18.0,36720.0,4.97,4.88,4.81,4.94,4.91,4.97,4.72,f,1.0,1.0,0.0,0.0,1.36,Copenhagen,Entire Standard,Entire,Standard
52,within a few hours,100%,60%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,1461.0,5,40.0,1.0,5.0,40.0,40.0,5.0,40.0,t,27.0,31.0,31.0,31.0,8.0,4.0,0.0,31,3.0,40.0,58440.0,4.63,4.88,4.63,4.75,5.0,4.88,4.38,f,1.0,1.0,0.0,0.0,1.44,Copenhagen,Entire Standard,Entire,Standard
57,within an hour,100%,87%,f,3.0,3.0,t,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,971.0,4,30.0,3.0,4.0,30.0,30.0,4.0,30.0,t,7.0,15.0,25.0,184.0,382.0,36.0,5.0,100,36.0,255.0,247605.0,4.73,4.78,4.6,4.75,4.85,4.75,4.69,f,1.0,1.0,0.0,0.0,2.18,Copenhagen,Entire Standard,Entire,Standard
58,within a few hours,100%,73%,t,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,1.0,1334.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,4.0,4.0,4.0,95.0,110.0,9.0,1.0,4,11.0,54.0,72036.0,4.81,4.8,4.74,4.9,4.94,4.78,4.67,f,1.0,1.0,0.0,0.0,2.99,Copenhagen,Entire Standard,Entire,Standard
60,a few days or more,0%,0%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,683.0,4,14.0,4.0,4.0,14.0,14.0,4.0,14.0,t,6.0,13.0,19.0,293.0,42.0,0.0,0.0,115,0.0,0.0,0.0,4.54,4.74,4.26,4.83,4.79,4.76,4.68,f,1.0,1.0,0.0,0.0,2.93,Copenhagen,Entire Standard,Entire,Standard
62,a few days or more,25%,18%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,0.0,1450.0,3,730.0,3.0,3.0,730.0,730.0,3.0,730.0,t,28.0,56.0,86.0,86.0,23.0,1.0,0.0,86,2.0,6.0,8700.0,4.59,4.65,4.26,4.74,4.96,5.0,4.3,f,1.0,1.0,0.0,0.0,0.77,Copenhagen,Entire Standard,Entire,Standard
63,within an hour,100%,0%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,4.0,1160.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,1.0,3.0,5.0,6.0,36.0,0.0,0.0,6,0.0,0.0,0.0,4.94,4.92,4.78,4.94,5.0,4.83,4.72,f,1.0,1.0,0.0,0.0,1.67,Copenhagen,Entire Standard,Entire,Standard
65,within a day,100%,22%,f,2.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,1149.0,7,30.0,7.0,7.0,30.0,30.0,7.0,30.0,t,0.0,0.0,0.0,210.0,10.0,3.0,0.0,31,3.0,42.0,48258.0,4.9,4.78,4.78,4.78,5.0,4.89,4.78,f,1.0,1.0,0.0,0.0,1.99,Copenhagen,Entire Standard,Entire,Standard
66,within a day,90%,62%,f,2.0,4.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,3.0,2250.0,5,1125.0,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,10.0,15.0,27.0,207.0,58.0,3.0,0.0,123,5.0,30.0,67500.0,4.58,4.72,4.04,4.42,4.49,4.7,4.46,f,1.0,1.0,0.0,0.0,3.42,Copenhagen,Entire Standard,Entire,Standard
67,within an hour,100%,59%,t,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,10.0,1.5,1.5 baths,3.0,3.0,2625.0,7,50.0,2.0,7.0,50.0,50.0,6.8,50.0,t,7.0,7.0,8.0,39.0,58.0,5.0,0.0,25,9.0,70.0,183750.0,4.88,4.91,4.41,4.93,4.98,4.89,4.83,f,1.0,1.0,0.0,0.0,1.45,Copenhagen,Entire Standard,Entire,Standard
70,within an hour,100%,71%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1200.0,3,7.0,3.0,3.0,7.0,7.0,3.0,7.0,t,0.0,7.0,26.0,272.0,117.0,3.0,1.0,98,5.0,18.0,21600.0,4.72,4.82,4.53,4.89,4.95,4.82,4.69,f,1.0,1.0,0.0,0.0,1.32,Copenhagen,Entire Standard,Entire,Standard
72,within an hour,100%,64%,t,2.0,2.0,t,Østerbro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,2.0,2.0,631.0,28,365.0,5.0,28.0,365.0,365.0,26.8,365.0,t,1.0,6.0,36.0,129.0,22.0,2.0,1.0,129,3.0,112.0,70672.0,4.25,4.59,3.77,4.68,4.82,4.73,4.09,f,1.0,1.0,0.0,0.0,3.38,Copenhagen,Entire Standard,Entire,Standard
75,within a day,100%,0%,f,1.0,1.0,f,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,1300.0,7,14.0,7.0,7.0,14.0,14.0,7.0,14.0,t,0.0,0.0,29.0,119.0,9.0,0.0,0.0,119,2.0,0.0,0.0,5.0,5.0,4.89,5.0,4.89,5.0,4.89,f,1.0,1.0,0.0,0.0,1.81,Copenhagen,Entire Standard,Entire,Standard
76,within an hour,100%,95%,t,2.0,2.0,t,Amager Vest,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,927.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,1.0,1.0,6.0,184.0,236.0,35.0,5.0,7,33.0,210.0,194670.0,4.83,4.83,4.66,4.97,4.98,4.82,4.71,f,1.0,1.0,0.0,0.0,2.07,Copenhagen,Entire Standard,Entire,Standard
80,within a day,100%,41%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,1120.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,3.0,3.0,3.0,176.0,16.0,3.0,1.0,4,1.0,30.0,33600.0,4.88,4.75,4.69,4.63,4.88,4.94,4.75,f,1.0,1.0,0.0,0.0,1.97,Copenhagen,Entire Standard,Entire,Standard
85,within an hour,100%,77%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,2.0,1722.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,9.0,18.0,23.0,233.0,133.0,5.0,1.0,69,4.0,30.0,51660.0,4.55,4.65,4.2,4.64,4.66,4.79,4.55,f,1.0,1.0,0.0,0.0,3.08,Copenhagen,Entire Standard,Entire,Standard
86,within an hour,100%,100%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,2200.0,5,21.0,5.0,5.0,21.0,21.0,5.0,21.0,t,9.0,10.0,10.0,10.0,48.0,4.0,0.0,10,5.0,40.0,88000.0,4.94,4.92,4.71,4.94,4.96,4.94,4.85,f,1.0,1.0,0.0,0.0,3.01,Copenhagen,Entire Standard,Entire,Standard
88,within a day,100%,100%,f,2.0,5.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,868.0,4,1125.0,4.0,5.0,1125.0,1125.0,4.0,1125.0,t,19.0,20.0,20.0,20.0,28.0,2.0,1.0,20,3.0,16.0,13888.0,4.82,4.75,4.5,4.79,4.79,4.89,4.64,f,1.0,1.0,0.0,0.0,1.9,Copenhagen,Entire Standard,Entire,Standard
89,within a few hours,100%,57%,t,2.0,3.0,t,Indre By,Entire Luxury,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,1556.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,16.0,30.0,51.0,136.0,200.0,20.0,0.0,136,19.0,120.0,186720.0,4.84,4.83,4.75,4.9,4.95,4.92,4.66,f,2.0,1.0,1.0,0.0,1.4,Copenhagen,Entire Luxury,Entire,Luxury
91,within a day,50%,50%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,4.0,990.0,7,47.0,5.0,7.0,47.0,47.0,6.7,47.0,t,8.0,10.0,13.0,217.0,24.0,3.0,1.0,38,2.0,42.0,41580.0,4.83,4.83,4.67,4.92,4.96,4.96,4.83,f,1.0,1.0,0.0,0.0,2.92,Copenhagen,Entire Standard,Entire,Standard
93,within an hour,100%,67%,f,1.0,2.0,t,Østerbro,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,1.0,635.0,5,60.0,5.0,5.0,60.0,60.0,5.0,60.0,t,7.0,7.0,7.0,215.0,29.0,1.0,0.0,38,4.0,10.0,6350.0,4.48,4.52,3.93,4.62,4.55,4.55,4.45,f,1.0,1.0,0.0,0.0,3.67,Copenhagen,Entire Standard,Entire,Standard
94,within a day,67%,17%,f,1.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,4.0,2328.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,16.0,19.0,19.0,288.0,29.0,1.0,0.0,106,0.0,6.0,13968.0,5.0,4.9,4.97,4.97,4.93,4.97,4.83,f,1.0,1.0,0.0,0.0,1.95,Copenhagen,Entire Standard,Entire,Standard
96,a few days or more,10%,17%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,1230.0,2,1125.0,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,14.0,25.0,52.0,318.0,34.0,3.0,0.0,138,4.0,18.0,22140.0,4.97,5.0,4.97,4.91,4.97,4.91,4.74,f,1.0,1.0,0.0,0.0,1.17,Copenhagen,Entire Standard,Entire,Standard
97,within an hour,100%,93%,t,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1085.0,1,14.0,1.0,1.0,14.0,14.0,1.0,14.0,t,0.0,0.0,1.0,42.0,91.0,22.0,5.0,1,22.0,132.0,143220.0,4.84,4.82,4.65,4.9,4.92,4.7,4.74,f,1.0,1.0,0.0,0.0,3.18,Copenhagen,Entire Standard,Entire,Standard
102,within a day,50%,0%,f,1.0,7.0,f,Amager Vest,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,1.0,4012.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,24.0,54.0,81.0,341.0,6.0,0.0,0.0,164,0.0,0.0,0.0,4.6,4.83,4.33,4.83,4.83,4.5,4.0,f,1.0,1.0,0.0,0.0,1.27,Copenhagen,Entire Standard,Entire,Standard
104,within an hour,100%,89%,f,2.0,3.0,t,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,1200.0,5,60.0,5.0,7.0,60.0,60.0,5.1,60.0,t,12.0,14.0,14.0,14.0,105.0,0.0,0.0,14,0.0,0.0,0.0,4.83,4.92,4.88,4.89,4.79,4.7,4.78,f,1.0,1.0,0.0,0.0,3.82,Copenhagen,Entire Standard,Entire,Standard
107,within a few hours,100%,83%,t,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1331.0,4,90.0,4.0,4.0,90.0,90.0,4.0,90.0,t,10.0,14.0,21.0,258.0,168.0,9.0,1.0,80,13.0,72.0,95832.0,4.89,4.89,4.85,4.78,4.88,4.84,4.79,f,1.0,1.0,0.0,0.0,2.03,Copenhagen,Entire Standard,Entire,Standard
109,within a few hours,100%,92%,t,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1275.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,t,12.0,12.0,19.0,26.0,60.0,13.0,1.0,26,17.0,78.0,99450.0,4.87,4.85,4.82,4.92,4.97,4.88,4.77,f,1.0,1.0,0.0,0.0,4.65,Copenhagen,Entire Standard,Entire,Standard
111,within a few hours,100%,46%,f,2.0,3.0,t,Nørrebro,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,900.0,3,30.0,3.0,7.0,30.0,30.0,3.2,30.0,t,2.0,4.0,4.0,22.0,62.0,5.0,1.0,22,4.0,30.0,27000.0,4.9,4.9,4.87,4.97,4.95,4.89,4.8,f,2.0,1.0,1.0,0.0,1.28,Copenhagen,Entire Standard,Entire,Standard
114,within a few hours,100%,100%,f,1.0,1.0,f,Nørrebro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,4.0,1305.0,6,30.0,4.0,6.0,30.0,30.0,6.0,30.0,t,4.0,6.0,6.0,6.0,30.0,2.0,0.0,6,2.0,24.0,31320.0,4.87,4.9,4.83,4.9,4.9,4.72,4.66,f,1.0,1.0,0.0,0.0,1.87,Copenhagen,Entire Standard,Entire,Standard
115,within an hour,100%,100%,t,3.0,3.0,t,Indre By,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,4.0,2074.0,4,31.0,3.0,5.0,31.0,31.0,4.1,31.0,t,7.0,12.0,12.0,19.0,102.0,12.0,2.0,19,11.0,96.0,199104.0,4.87,4.84,4.7,4.92,4.98,4.86,4.78,f,1.0,1.0,0.0,0.0,1.69,Copenhagen,Entire Standard,Entire,Standard
