,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
1161,within a day,60%,33%,f,1.0,1.0,f,Amager Øst,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1095.0,2,21.0,2.0,2.0,21.0,21.0,2.0,21.0,t,7.0,32.0,58.0,206.0,2.0,2.0,2.0,59,0.0,12.0,13140.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.44,Copenhagen,Entire Standard,Entire,Standard
1164,within a few hours,100%,100%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,1090.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,1.0,1.0,1.0,1.0,66.0,7.0,1.0,1,5.0,42.0,45780.0,4.95,4.89,4.91,4.9,4.87,4.83,4.89,f,1.0,1.0,0.0,0.0,2.13,Copenhagen,Entire Standard,Entire,Standard
1169,within an hour,100%,74%,f,2.0,3.0,t,Indre By,Entire Luxury,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,1309.0,3,730.0,3.0,3.0,730.0,730.0,3.0,730.0,t,4.0,8.0,16.0,40.0,57.0,7.0,1.0,24,9.0,42.0,54978.0,4.63,4.75,4.05,4.91,4.96,4.7,4.67,f,1.0,1.0,0.0,0.0,3.08,Copenhagen,Entire Luxury,Entire,Luxury
1170,a few days or more,29%,65%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,7.0,1.0,1 bath,5.0,5.0,2070.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,0.0,1.0,2.0,87.0,4.0,4.0,2.0,87,0.0,24.0,49680.0,4.25,4.5,3.0,4.5,4.75,5.0,4.25,f,1.0,1.0,0.0,0.0,2.0,Copenhagen,Entire Standard,Entire,Standard
1172,within a few hours,100%,68%,f,1.0,2.0,t,Indre By,Hotel,Private room,2.0,1.0,1 bath,1.0,1.0,559.0,3,60.0,1.0,3.0,60.0,60.0,3.0,60.0,t,0.0,2.0,7.0,199.0,150.0,19.0,3.0,26,31.0,114.0,63726.0,4.89,4.87,4.95,4.95,4.81,4.95,4.8,f,1.0,0.0,1.0,0.0,1.7,Copenhagen,Hotel,Hotel,Hotel
1174,within an hour,100%,75%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,920.0,2,729.0,2.0,2.0,729.0,729.0,2.0,729.0,t,0.0,0.0,0.0,153.0,37.0,6.0,2.0,0,7.0,36.0,33120.0,4.76,4.84,4.65,4.92,4.95,4.92,4.62,f,1.0,1.0,0.0,0.0,3.85,Copenhagen,Entire Standard,Entire,Standard
1175,within an hour,100%,100%,t,1.0,2.0,t,Brønshøj-Husum,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,798.0,5,21.0,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,6.0,7.0,7.0,113.0,61.0,12.0,1.0,26,17.0,120.0,95760.0,4.77,4.8,4.74,4.87,4.8,4.59,4.76,t,1.0,1.0,0.0,0.0,5.96,Copenhagen,Entire Standard,Entire,Standard
1176,within a few hours,100%,93%,f,4.0,4.0,t,Brønshøj-Husum,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,6.0,1260.0,4,30.0,4.0,5.0,30.0,30.0,4.1,30.0,t,11.0,19.0,19.0,19.0,23.0,0.0,0.0,19,0.0,0.0,0.0,4.83,4.87,4.74,4.95,5.0,4.55,4.77,f,1.0,1.0,0.0,0.0,5.31,Copenhagen,Entire Standard,Entire,Standard
1178,within an hour,100%,91%,t,2.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,1913.0,4,700.0,4.0,4.0,700.0,700.0,4.0,700.0,t,0.0,0.0,8.0,234.0,39.0,14.0,0.0,56,15.0,112.0,214256.0,4.95,4.95,4.85,4.82,4.9,4.92,4.67,f,1.0,1.0,0.0,0.0,2.85,Copenhagen,Entire Standard,Entire,Standard
1179,within a day,100%,100%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,4.0,1540.0,6,30.0,4.0,6.0,30.0,30.0,5.9,30.0,t,13.0,19.0,19.0,19.0,37.0,0.0,0.0,19,0.0,0.0,0.0,4.84,4.81,4.7,4.95,4.95,4.97,4.76,f,1.0,1.0,0.0,0.0,0.69,Copenhagen,Entire Standard,Entire,Standard
