feature,city,lasso_coef,ridge_coef
neighbourhood_cleansed_Vestre Aker,Oslo,0.01316243406492182,0.020081329675353404
neighbourhood_cleansed_Østensjø,Oslo,-0.007891408584805483,-0.002624199395968867
neighbourhood_cleansed_Østerbro,Oslo,0.0,0.0
bathrooms_text_0 shared baths,Oslo,-0.0016921146560888813,-0.0038602143282841514
bathrooms_text_1 bath,Oslo,-0.027640952167879387,-0.047366063958655405
bathrooms_text_1 private bath,Oslo,0.017351906683326486,0.013897547780940071
bathrooms_text_1 shared bath,Oslo,-0.0,-0.007475463677276396
bathrooms_text_1.5 baths,Oslo,-0.0,-0.007586553720414919
bathrooms_text_1.5 shared baths,Oslo,0.0063296861823304955,0.006159851359311383
bathrooms_text_2 baths,Oslo,0.03518820577175339,0.030719291756413917
bathrooms_text_2 shared baths,Oslo,-0.0037351036417325617,-0.005366218163140006
bathrooms_text_2.5 baths,Oslo,0.020146893707780673,0.01994502312082229
bathrooms_text_2.5 shared baths,Oslo,-0.005682634395958507,-0.00667562699274737
bathrooms_text_3 baths,Oslo,0.007005781994247442,0.008172375963941646
bathrooms_text_3 shared baths,Oslo,0.01219178497182342,0.013667343036750157
bathrooms_text_3.5 baths,Oslo,0.010442195236967903,0.011751217282911192
bathrooms_text_4 baths,Oslo,0.0007068173022175228,0.0024191155452235554
bathrooms_text_4 shared baths,Oslo,-0.0035242199619485008,-0.0038606295397731064
bathrooms_text_4.5 baths,Oslo,0.0035783316494849594,0.00506408952945229
bathrooms_text_5 baths,Oslo,0.0,0.0
bathrooms_text_Half-bath,Oslo,-0.004836935233998025,-0.008888107416259242
bathrooms_text_Private half-bath,Oslo,-0.0019294890455105913,-0.00436134009523662
bathrooms_text_Shared half-bath,Oslo,-0.0,-0.0031885566851258458
property_type_Entire Alternative,Oslo,0.0017205811885697305,0.00327136698553559
property_type_Entire Luxury,Oslo,-0.000685484198323871,-0.0011800395043892926
property_type_Entire Standard,Oslo,0.0,-0.0004239680049879342
property_type_Hotel,Oslo,-0.0,-0.020126448421791957
property_type_Private Standard,Oslo,0.00033755556889874145,0.002002012360216269
property_category_Hotel,Oslo,-0.0,-0.020126448421792037
property_category_Luxury,Oslo,-2.4206287383383005e-10,-0.0011800395043892592
property_category_Special,Oslo,0.014528191893876021,0.01499848120233908
property_category_Standard,Oslo,0.0,-0.0003596330291188999
Unnamed: 0,Copenhagen,-0.003061811595567794,-0.004647210558048513
host_response_time,Copenhagen,-0.0,-0.002190498760407851
host_response_rate,Copenhagen,0.025923555023687535,0.027837338945226442
host_acceptance_rate,Copenhagen,0.02978162671389732,0.031003586279716618
host_is_superhost,Copenhagen,0.0202154097851388,0.021336963132717185
host_listings_count,Copenhagen,0.19684363161478471,0.20211794037561237
host_total_listings_count,Copenhagen,-0.19946276960693884,-0.21018672508425146
host_identity_verified,Copenhagen,0.004845722867631255,0.005458735348814603
accommodates,Copenhagen,0.10834653970291286,0.11104185585670087
bathrooms,Copenhagen,0.012809138522393492,0.017906364709556633
bedrooms,Copenhagen,0.10495383117709128,0.10492313291895096
beds,Copenhagen,-0.0,-0.0032919132930539084
