feature,city,lasso_coef,ridge_coef
bathrooms_text_1 private bath,Oslo,-0.0,-22.436576929234935
bathrooms_text_1 shared bath,Oslo,-0.0,-30.11166181786904
bathrooms_text_1.5 baths,Oslo,-0.0,-54.2426328853879
bathrooms_text_1.5 shared baths,Oslo,121.99146798647439,126.46715453996948
bathrooms_text_2 baths,Oslo,124.0225015753533,78.27005591518406
bathrooms_text_2 shared baths,Oslo,-0.0,0.8594661034770882
bathrooms_text_2.5 baths,Oslo,116.4815481292508,105.52152585498386
bathrooms_text_2.5 shared baths,Oslo,-16.909295893526167,-27.183283503718524
bathrooms_text_3 baths,Oslo,34.54170913623862,34.7554347485846
bathrooms_text_3 shared baths,Oslo,28.633292517392057,43.000198114755044
bathrooms_text_3.5 baths,Oslo,42.46680960747421,47.230335678057315
bathrooms_text_4 baths,Oslo,-0.0,-12.799776166600791
bathrooms_text_4 shared baths,Oslo,-13.791539982671166,-20.863239428706944
bathrooms_text_4.5 baths,Oslo,238.89822658111413,241.1409682253494
bathrooms_text_5 baths,Oslo,0.0,0.0
bathrooms_text_Half-bath,Oslo,-0.0,-16.60000218989838
bathrooms_text_Private half-bath,Oslo,-0.0,-14.431542763056422
bathrooms_text_Shared half-bath,Oslo,0.0,-9.03579056528526
property_type_Entire Alternative,Oslo,12.244588495136268,6.263293194088677
property_type_Entire Luxury,Oslo,0.0,-0.08593768580554671
property_type_Entire Standard,Oslo,0.0,-0.4455952781936839
property_type_Hotel,Oslo,-0.013003863907382356,7.088835654649592
property_type_Private Standard,Oslo,1.2804190583047328,4.67987291140795
property_category_Hotel,Oslo,-1.7878080660767562e-05,7.088835654649439
property_category_Luxury,Oslo,0.0,-0.08593768580543908
property_category_Special,Oslo,139.70415709530255,148.30014510478648
property_category_Standard,Oslo,0.0,-0.2950184326905033
Unnamed: 0,Copenhagen,0.0,8.377255917293798
host_response_time,Copenhagen,0.0,1.7033945358988976
host_response_rate,Copenhagen,20.058842369651106,28.325266753745176
