,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
31294,within an hour,100%,100%,t,28.0,31.0,t,Sentrum,59.91086843826085,10.744255772491467,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,778.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0,6.0,114.0,88692.0,4.79,4.79,4.68,4.89,4.89,4.95,4.84,f,26.0,26.0,0.0,0.0,0.56,Oslo,Entire Standard,Entire,Standard
31295,within a few hours,100%,25%,f,1.0,1.0,f,Sagene,59.94506,10.76192,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1305.0,20,60.0,20.0,20.0,60.0,60.0,20.0,60.0,t,30.0,60.0,90.0,365.0,1.0,1.0,0.0,94,1.0,40.0,52200.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,f,1.0,1.0,0.0,0.0,3.51,Oslo,Entire Standard,Entire,Standard
31299,within a day,90%,66%,f,1.0,1.0,t,Frogner,59.92577,10.71222,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1106.0,3,1125.0,2.0,3.0,1125.0,1125.0,3.0,1125.0,t,2.0,2.0,7.0,14.0,45.0,45.0,4.0,10,12.0,255.0,282030.0,4.91,4.93,4.89,4.96,4.98,4.89,4.8,f,1.0,1.0,0.0,0.0,2.59,Oslo,Entire Standard,Entire,Standard
31302,within an hour,100%,98%,t,2.0,5.0,t,Nordstrand,59.86867,10.77147,Entire Luxury,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1338.0,2,31.0,2.0,2.0,31.0,31.0,2.0,31.0,t,25.0,52.0,69.0,69.0,18.0,18.0,4.0,69,0.0,108.0,144504.0,5.0,4.89,5.0,4.94,4.94,5.0,4.94,f,2.0,2.0,0.0,0.0,5.14,Oslo,Entire Luxury,Entire,Luxury
31303,within a few hours,100%,67%,f,1.0,3.0,f,Søndre Nordstrand,59.8291834,10.800626,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,4.0,1417.0,2,21.0,2.0,2.0,21.0,21.0,2.0,21.0,t,12.0,24.0,35.0,309.0,2.0,2.0,0.0,38,0.0,12.0,17004.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,9.8,Oslo,Entire Standard,Entire,Standard
31307,a few days or more,0%,100%,f,1.0,1.0,f,Grünerløkka,59.92239,10.75675,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,3196.0,4,90.0,1.0,4.0,90.0,90.0,4.0,90.0,t,0.0,0.0,29.0,95.0,5.0,5.0,0.0,33,1.0,40.0,127840.0,5.0,4.8,5.0,5.0,5.0,4.8,4.6,f,1.0,1.0,0.0,0.0,0.98,Oslo,Entire Standard,Entire,Standard
31312,within an hour,100%,100%,f,2.0,3.0,t,Sagene,59.94335,10.76417,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1359.0,1,30.0,1.0,2.0,1125.0,1125.0,1.1,1125.0,t,23.0,53.0,83.0,262.0,4.0,4.0,1.0,87,0.0,24.0,32616.0,5.0,5.0,5.0,4.75,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.34,Oslo,Entire Standard,Entire,Standard
31313,within a day,83%,85%,t,1.0,1.0,t,Sentrum,59.91176,10.74654,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,986.0,3,365.0,1.0,4.0,365.0,365.0,3.1,365.0,t,2.0,29.0,37.0,51.0,15.0,15.0,0.0,37,3.0,90.0,88740.0,4.8,4.8,4.53,4.87,4.73,5.0,4.67,f,1.0,1.0,0.0,0.0,0.4,Oslo,Entire Standard,Entire,Standard
31314,a few days or more,50%,7%,f,1.0,1.0,f,Grünerløkka,59.92271302305073,10.756956418343384,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1700.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,20.0,50.0,80.0,84.0,2.0,2.0,0.0,84,1.0,12.0,20400.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.02,Oslo,Entire Standard,Entire,Standard
31316,within an hour,100%,100%,t,1.0,1.0,t,Bjerke,59.93432,10.81272,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,1040.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,21.0,51.0,79.0,169.0,41.0,41.0,4.0,83,0.0,246.0,255840.0,4.98,4.95,4.88,4.95,4.98,4.83,4.9,f,1.0,1.0,0.0,0.0,4.07,Oslo,Entire Standard,Entire,Standard
