,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
12275,a few days or more,0%,0%,f,1.0,1.0,t,Nørrebro,55.693953963658664,12.546944700285392,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1250.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,23.0,53.0,83.0,358.0,0.0,0.0,0.0,179,0.0,0.0,0.0,4.8510480746372,4.7987530313396665,4.670250141089514,4.808619505812564,4.906285390992073,4.87337376317959,4.6667865630269345,f,1.0,1.0,0.0,0.0,2.39,Copenhagen,Entire Standard,Entire,Standard,0
12276,within a few hours,100%,100%,f,1.0,1.0,t,Nørrebro,55.69356359184481,12.54526823759079,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,788.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,12.0,12.0,12.0,136.0,9.0,2.0,2.0,12,0.0,12.0,9456.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,0.0,1.0,0.0,2.42,Copenhagen,Hotel,Hotel,Hotel,1
12279,within an hour,100%,55%,f,1.0,1.0,t,Brønshøj-Husum,55.702489,12.498924,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,750.0,3,31.0,3.0,3.0,31.0,31.0,3.0,31.0,t,0.0,0.0,0.0,195.0,5.0,5.0,0.0,13,1.0,30.0,22500.0,5.0,5.0,5.0,5.0,5.0,4.8,4.8,f,1.0,1.0,0.0,0.0,5.25,Copenhagen,Entire Standard,Entire,Standard,1
12281,within an hour,100%,100%,t,1.0,1.0,t,Bispebjerg,55.70398131421906,12.52981139780995,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,936.0,2,15.0,2.0,5.0,15.0,15.0,2.1,15.0,t,9.0,9.0,9.0,35.0,34.0,16.0,1.0,9,15.0,96.0,89856.0,4.82,4.79,4.74,4.94,4.97,4.47,4.56,f,1.0,1.0,0.0,0.0,3.93,Copenhagen,Entire Standard,Entire,Standard,1
12283,within an hour,100%,90%,t,1.0,1.0,t,Østerbro,55.7073295,12.5962851,Entire Standard,Entire home/apt,4.0,1.5,1.5 baths,2.0,2.0,2000.0,4,1125.0,1.0,4.0,1125.0,1125.0,4.0,1125.0,t,19.0,23.0,43.0,188.0,30.0,16.0,5.0,60,17.0,128.0,256000.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.89,Copenhagen,Entire Standard,Entire,Standard,1
12284,within a day,100%,71%,f,1.0,1.0,t,Indre By,55.683681310315094,12.58431905206806,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1709.0,4,12.0,4.0,4.0,12.0,12.0,4.0,12.0,t,8.0,11.0,11.0,11.0,13.0,4.0,1.0,11,5.0,32.0,54688.0,4.77,4.92,4.54,4.69,4.92,5.0,4.77,f,1.0,1.0,0.0,0.0,1.31,Copenhagen,Entire Standard,Entire,Standard,1
12286,within an hour,100%,91%,t,3.0,3.0,t,Amager Vest,55.6551,12.56415,Entire Standard,Entire home/apt,7.0,2.0,2 baths,3.0,4.0,3640.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,20.0,25.0,41.0,310.0,30.0,11.0,0.0,136,15.0,66.0,240240.0,5.0,4.9,4.9,4.93,4.97,4.87,4.87,f,2.0,2.0,0.0,0.0,2.35,Copenhagen,Entire Standard,Entire,Standard,1
12287,within a day,78%,92%,f,1.0,1.0,t,Amager Vest,55.659689591156656,12.567391815344244,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,2348.0,1,365.0,2.0,3.0,365.0,365.0,2.7,365.0,t,7.0,12.0,16.0,190.0,20.0,20.0,4.0,107,12.0,120.0,281760.0,5.0,4.95,4.85,4.95,4.9,4.9,4.75,f,1.0,1.0,0.0,0.0,1.83,Copenhagen,Entire Standard,Entire,Standard,1
12290,within a few hours,100%,50%,t,1.0,1.0,t,Vanløse,55.69593944480443,12.513433809605427,Entire Standard,Entire home/apt,4.0,1.5,1.5 baths,2.0,2.0,1520.0,3,1125.0,3.0,5.0,1125.0,1125.0,3.1,1125.0,t,23.0,31.0,58.0,333.0,28.0,13.0,4.0,153,13.0,78.0,118560.0,4.96,4.96,4.75,4.96,4.93,4.64,4.75,f,1.0,1.0,0.0,0.0,4.09,Copenhagen,Entire Standard,Entire,Standard,1
12291,within a day,100%,59%,t,2.0,3.0,t,Nørrebro,55.69187,12.54536,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1086.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,0.0,3.0,3.0,14.0,23.0,10.0,0.0,14,10.0,60.0,65160.0,4.87,4.96,4.96,5.0,4.96,4.96,4.74,f,2.0,1.0,1.0,0.0,2.27,Copenhagen,Entire Standard,Entire,Standard,1
12293,within an hour,100%,100%,t,5.0,5.0,t,Amager Øst,55.65419,12.61735,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,862.0,2,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,19.0,28.0,52.0,327.0,62.0,31.0,1.0,150,30.0,186.0,160332.0,4.82,4.76,4.73,5.0,4.92,4.81,4.73,f,1.0,1.0,0.0,0.0,3.92,Copenhagen,Entire Standard,Entire,Standard,1
12294,within a day,100%,43%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,55.66815,12.53774,Entire Standard,Entire home/apt,6.0,2.0,2 baths,4.0,4.0,2070.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,12.0,13.0,28.0,123.0,3.0,0.0,0.0,123,1.0,0.0,0.0,4.33,4.0,5.0,4.67,5.0,5.0,4.67,f,1.0,1.0,0.0,0.0,2.11,Copenhagen,Entire Standard,Entire,Standard,1
12296,within an hour,100%,100%,f,1.0,1.0,t,Frederiksberg,55.68154723506697,12.532967926667643,Entire Standard,Entire home/apt,6.0,1.0,1 bath,1.0,3.0,864.0,1,28.0,1.0,2.0,28.0,28.0,1.1,28.0,t,8.0,11.0,24.0,107.0,65.0,46.0,4.0,107,40.0,255.0,220320.0,4.58,4.66,4.58,4.86,4.86,4.82,4.51,f,1.0,1.0,0.0,0.0,2.3,Copenhagen,Entire Standard,Entire,Standard,1
12297,a few days or more,0%,12%,f,2.0,6.0,t,Vesterbro-Kongens Enghave,55.66818621934493,12.547344602644444,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1093.0,4,8.0,4.0,4.0,8.0,8.0,4.0,8.0,t,10.0,19.0,28.0,299.0,14.0,5.0,0.0,121,5.0,40.0,43720.0,4.86,4.93,4.86,4.71,4.79,5.0,4.71,f,1.0,1.0,0.0,0.0,1.58,Copenhagen,Entire Standard,Entire,Standard,1
12300,within a day,100%,50%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66591985486616,12.532889787793058,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1250.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,0.0,0.0,0.0,148.0,14.0,3.0,1.0,0,6.0,18.0,22500.0,5.0,4.93,4.79,5.0,5.0,5.0,4.79,f,1.0,1.0,0.0,0.0,2.49,Copenhagen,Entire Standard,Entire,Standard,1
12301,within an hour,100%,93%,f,4.0,4.0,t,Indre By,55.6778659,12.5753385,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1943.0,4,1125.0,2.0,4.0,1125.0,1125.0,3.9,1125.0,t,18.0,32.0,36.0,68.0,59.0,30.0,2.0,68,11.0,240.0,466320.0,4.75,4.8,4.69,4.66,4.69,5.0,4.69,f,3.0,3.0,0.0,0.0,0.48,Copenhagen,Entire Standard,Entire,Standard,1
12302,within a day,100%,64%,t,1.0,1.0,t,Østerbro,55.70646211501094,12.581628062137115,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,840.0,28,90.0,1.0,28.0,90.0,90.0,27.7,90.0,t,0.0,0.0,26.0,26.0,23.0,2.0,0.0,26,5.0,112.0,94080.0,4.78,4.78,4.74,4.87,4.96,4.78,4.78,f,1.0,1.0,0.0,0.0,3.48,Copenhagen,Entire Standard,Entire,Standard,1
12304,within an hour,100%,44%,f,1.0,3.0,t,Østerbro,55.700350269186536,12.594621386783995,Entire Standard,Entire home/apt,3.0,1.5,1.5 baths,1.0,1.0,3500.0,2,10.0,2.0,2.0,10.0,10.0,2.0,10.0,t,20.0,42.0,68.0,343.0,9.0,3.0,1.0,165,4.0,18.0,63000.0,5.0,5.0,5.0,5.0,5.0,4.89,5.0,f,1.0,1.0,0.0,0.0,3.16,Copenhagen,Entire Standard,Entire,Standard,1
12307,within a day,78%,77%,t,1.0,2.0,t,Amager Øst,55.664716250369366,12.602294012904167,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,665.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,2.0,3.0,3.0,11.0,18.0,5.0,0.0,11,6.0,30.0,19950.0,4.78,4.78,4.83,4.72,4.72,4.94,4.72,f,1.0,1.0,0.0,0.0,2.48,Copenhagen,Entire Standard,Entire,Standard,1
12308,within an hour,100%,100%,f,1.0,2.0,t,Valby,55.66435,12.51983,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,617.0,10,365.0,3.0,18.0,365.0,365.0,14.7,365.0,t,9.0,9.0,9.0,36.0,8.0,3.0,0.0,9,6.0,60.0,37020.0,4.25,4.63,4.38,4.88,4.88,4.75,4.5,f,1.0,1.0,0.0,0.0,3.31,Copenhagen,Entire Standard,Entire,Standard,1
12312,within a day,100%,28%,f,2.0,3.0,t,Frederiksberg,55.6749567,12.5417741,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1500.0,6,28.0,6.0,6.0,28.0,28.0,6.0,28.0,t,3.0,5.0,6.0,195.0,9.0,4.0,0.0,17,6.0,48.0,72000.0,5.0,4.89,4.67,4.89,4.78,5.0,4.67,f,1.0,1.0,0.0,0.0,1.67,Copenhagen,Entire Standard,Entire,Standard,1
12313,within a day,100%,67%,f,1.0,1.0,f,Østerbro,55.70982004653244,12.55946276798698,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,3.0,945.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,5.0,7.0,9.0,9.0,6.0,5.0,1.0,9,3.0,50.0,47250.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.79,Copenhagen,Entire Standard,Entire,Standard,1
12314,within a day,100%,60%,f,1.0,1.0,t,Østerbro,55.70722,12.57236,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,2.0,1256.0,5,365.0,5.0,10.0,365.0,365.0,5.4,365.0,t,0.0,2.0,2.0,49.0,9.0,3.0,0.0,34,5.0,30.0,37680.0,5.0,4.78,5.0,5.0,5.0,4.89,4.67,f,1.0,1.0,0.0,0.0,3.47,Copenhagen,Entire Standard,Entire,Standard,1
12315,a few days or more,14%,6%,f,1.0,1.0,t,Amager Vest,55.6398668,12.5825833,Entire Standard,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,585.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,2.0,2.0,2.0,200.0,19.0,2.0,0.0,26,9.0,12.0,7020.0,4.79,4.84,4.42,4.89,4.95,4.68,4.53,f,1.0,1.0,0.0,0.0,4.13,Copenhagen,Entire Standard,Entire,Standard,1
12322,within an hour,100%,81%,t,4.0,4.0,t,Indre By,55.68324088345083,12.566907601370604,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1962.0,3,730.0,3.0,3.0,730.0,730.0,3.0,730.0,t,30.0,52.0,77.0,352.0,32.0,14.0,4.0,174,19.0,84.0,164808.0,4.91,4.78,4.84,4.97,4.97,4.97,4.69,f,1.0,1.0,0.0,0.0,0.8,Copenhagen,Entire Standard,Entire,Standard,1
12323,within a few hours,100%,91%,f,1.0,3.0,t,Indre By,55.67839,12.57005,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,2.0,2010.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,23.0,40.0,67.0,164.0,13.0,7.0,2.0,164,6.0,42.0,84420.0,4.69,4.62,4.15,4.69,4.77,4.92,4.54,f,1.0,1.0,0.0,0.0,0.28,Copenhagen,Entire Standard,Entire,Standard,1
12325,within a day,100%,50%,f,1.0,1.0,t,Amager Øst,55.65982,12.61246,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1235.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,0.0,8.0,8.0,8.0,11.0,3.0,0.0,8,3.0,24.0,29640.0,5.0,4.91,4.91,5.0,5.0,4.82,4.64,f,1.0,1.0,0.0,0.0,3.31,Copenhagen,Entire Standard,Entire,Standard,1
12326,within a day,90%,14%,f,1.0,1.0,t,Bispebjerg,55.69885,12.53592,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,908.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,29.0,52.0,82.0,86.0,15.0,4.0,3.0,86,5.0,24.0,21792.0,4.87,4.8,4.93,5.0,5.0,4.8,4.73,f,1.0,1.0,0.0,0.0,3.24,Copenhagen,Entire Standard,Entire,Standard,1
12327,a few days or more,6%,10%,f,2.0,2.0,t,Indre By,55.6839092,12.5865387,Entire Standard,Entire home/apt,2.0,1.5,1.5 baths,2.0,1.0,1952.0,1,100.0,1.0,1.0,100.0,100.0,1.0,100.0,t,22.0,37.0,60.0,335.0,3.0,0.0,0.0,153,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,2.0,2.0,0.0,0.0,1.44,Copenhagen,Entire Standard,Entire,Standard,1
12328,within a day,50%,83%,t,1.0,1.0,t,Amager Vest,55.661361,12.586074,Hotel,Private room,1.0,1.0,1 bath,1.0,1.0,450.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,0.0,0.0,0.0,236.0,43.0,7.0,0.0,59,20.0,42.0,18900.0,4.91,4.84,4.86,4.95,4.93,4.95,4.86,f,1.0,0.0,1.0,0.0,1.98,Copenhagen,Hotel,Hotel,Hotel,1
12329,within a day,100%,50%,f,1.0,4.0,t,Frederiksberg,55.68331537704277,12.551143125330166,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1170.0,6,30.0,6.0,6.0,30.0,30.0,6.0,30.0,t,1.0,1.0,1.0,6.0,13.0,3.0,0.0,6,7.0,36.0,42120.0,5.0,5.0,5.0,4.92,5.0,4.92,4.92,f,1.0,1.0,0.0,0.0,1.34,Copenhagen,Entire Standard,Entire,Standard,1
12331,within an hour,100%,60%,f,1.0,2.0,t,Amager Vest,55.666022486517974,12.58147705346346,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1029.0,4,365.0,3.0,4.0,365.0,365.0,4.0,365.0,t,15.0,15.0,15.0,15.0,11.0,3.0,0.0,15,3.0,24.0,24696.0,4.82,4.73,4.64,4.55,4.91,4.91,4.73,f,1.0,1.0,0.0,0.0,1.39,Copenhagen,Entire Standard,Entire,Standard,1
12332,within a day,100%,44%,f,1.0,1.0,t,Nørrebro,55.68929509550344,12.556703308598324,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1306.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,5.0,8.0,8.0,92.0,15.0,5.0,0.0,8,5.0,50.0,65300.0,4.93,4.87,4.8,5.0,5.0,4.87,4.67,f,1.0,1.0,0.0,0.0,1.64,Copenhagen,Entire Standard,Entire,Standard,1
12333,within a few hours,100%,79%,f,1.0,1.0,t,Bispebjerg,55.70888429999999,12.5301163,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,774.0,2,62.0,2.0,2.0,62.0,62.0,2.0,62.0,t,10.0,11.0,11.0,11.0,10.0,7.0,2.0,11,6.0,42.0,32508.0,4.9,5.0,4.8,4.9,5.0,4.6,4.8,f,1.0,1.0,0.0,0.0,4.36,Copenhagen,Entire Standard,Entire,Standard,1
12334,within an hour,100%,67%,f,1.0,1.0,t,Østerbro,55.7057189,12.5833145,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,1215.0,5,365.0,1.0,5.0,365.0,365.0,5.0,365.0,t,15.0,18.0,18.0,18.0,4.0,1.0,1.0,18,1.0,10.0,12150.0,5.0,5.0,4.5,5.0,5.0,5.0,4.75,f,1.0,1.0,0.0,0.0,3.43,Copenhagen,Entire Standard,Entire,Standard,1
12337,within an hour,100%,94%,f,2.0,4.0,t,Valby,55.677292426616106,12.492285250237469,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,808.0,5,120.0,5.0,5.0,120.0,120.0,5.0,120.0,t,10.0,21.0,38.0,214.0,11.0,6.0,1.0,132,9.0,60.0,48480.0,4.73,4.64,4.45,4.82,4.91,4.55,4.36,f,1.0,1.0,0.0,0.0,4.77,Copenhagen,Entire Standard,Entire,Standard,1
12341,within an hour,100%,88%,f,1.0,1.0,t,Amager Øst,55.6537848,12.6357162,Entire Luxury,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1434.0,3,21.0,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,4.0,4.0,4.0,4.0,12.0,5.0,0.0,4,5.0,30.0,43020.0,4.83,4.92,4.58,5.0,4.92,4.92,4.83,f,1.0,1.0,0.0,0.0,4.9,Copenhagen,Entire Luxury,Entire,Luxury,1
12342,within a few hours,100%,73%,f,1.0,3.0,t,Østerbro,55.69956442712276,12.586296671900978,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1143.0,3,20.0,3.0,3.0,20.0,20.0,3.0,20.0,t,4.0,4.0,7.0,280.0,12.0,5.0,1.0,99,6.0,30.0,34290.0,4.83,4.83,4.83,4.92,4.83,4.75,4.75,f,1.0,1.0,0.0,0.0,2.84,Copenhagen,Entire Standard,Entire,Standard,1
12343,within a few hours,100%,83%,f,1.0,1.0,t,Nørrebro,55.69188627706618,12.545171007513998,Entire Standard,Entire home/apt,7.0,1.0,1 bath,3.0,3.0,1998.0,1,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,0.0,12.0,38.0,313.0,25.0,9.0,0.0,135,17.0,54.0,107892.0,4.8,4.68,4.48,4.96,4.64,4.92,4.76,f,1.0,1.0,0.0,0.0,2.28,Copenhagen,Entire Standard,Entire,Standard,1
12344,within a few hours,100%,90%,t,1.0,1.0,t,Indre By,55.6864663,12.5873731,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2430.0,2,90.0,2.0,2.0,90.0,90.0,2.0,90.0,t,11.0,21.0,42.0,49.0,91.0,8.0,5.0,46,26.0,48.0,116640.0,4.97,4.97,4.9,4.87,4.98,4.91,4.88,f,1.0,1.0,0.0,0.0,1.66,Copenhagen,Entire Standard,Entire,Standard,1
12351,a few days or more,10%,0%,f,2.0,2.0,t,Vesterbro-Kongens Enghave,55.65832257899115,12.539059929549694,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,324.0,14,365.0,14.0,14.0,365.0,365.0,14.0,365.0,t,0.0,27.0,57.0,332.0,0.0,0.0,0.0,152,0.0,0.0,0.0,4.546585428768377,4.761747558356328,4.574922985827515,4.872539837191516,4.737751327306546,4.703304695706119,4.572036846269645,f,2.0,0.0,2.0,0.0,2.7,Copenhagen,Hotel,Hotel,Hotel,0
12353,within an hour,100%,95%,t,1.0,1.0,t,Østerbro,55.71207159999999,12.560851,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,982.0,5,90.0,5.0,5.0,90.0,90.0,5.0,90.0,t,13.0,16.0,17.0,107.0,23.0,22.0,4.0,107,11.0,220.0,216040.0,4.87,4.96,4.87,5.0,5.0,4.74,4.87,f,1.0,1.0,0.0,0.0,4.03,Copenhagen,Entire Standard,Entire,Standard,1
12355,within an hour,100%,100%,f,1.0,1.0,t,Nørrebro,55.6918952,12.5443837,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,978.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,7.0,8.0,8.0,8.0,0.0,0.0,0.0,8,0.0,0.0,0.0,4.906210641486528,4.9063034800489485,4.747715376165905,4.8963920038151425,4.9449722219519465,4.920207444412506,4.815410988564726,f,1.0,1.0,0.0,0.0,2.31,Copenhagen,Entire Standard,Entire,Standard,0
12356,a few days or more,33%,44%,f,1.0,3.0,t,Nørrebro,55.69218,12.54238,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1490.0,3,20.0,3.0,3.0,20.0,20.0,3.0,20.0,t,4.0,7.0,7.0,82.0,8.0,2.0,0.0,82,5.0,12.0,17880.0,4.88,4.75,5.0,5.0,5.0,4.75,4.75,f,1.0,1.0,0.0,0.0,2.42,Copenhagen,Entire Standard,Entire,Standard,1
12357,within a few hours,90%,59%,f,1.0,1.0,t,Indre By,55.68930557131883,12.57157661643114,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,1556.0,4,1125.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,15.0,15.0,15.0,15.0,24.0,11.0,0.0,15,10.0,88.0,136928.0,4.92,4.92,4.63,4.83,4.92,4.92,4.75,f,1.0,1.0,0.0,0.0,1.48,Copenhagen,Entire Standard,Entire,Standard,1
12359,within a day,83%,54%,f,1.0,1.0,t,Indre By,55.67994909999999,12.5681284,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1760.0,3,365.0,1.0,3.0,365.0,365.0,3.0,365.0,t,9.0,19.0,20.0,229.0,9.0,4.0,0.0,51,5.0,24.0,42240.0,5.0,5.0,4.89,5.0,5.0,5.0,4.89,f,1.0,1.0,0.0,0.0,0.43,Copenhagen,Entire Standard,Entire,Standard,1
12362,a few days or more,10%,13%,f,1.0,1.0,t,Østerbro,55.7040594794359,12.58539432149326,Entire Standard,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,700.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,7.0,14.0,18.0,287.0,12.0,1.0,0.0,114,8.0,8.0,5600.0,4.58,4.75,3.83,4.5,4.5,4.75,4.42,f,1.0,1.0,0.0,0.0,3.29,Copenhagen,Entire Standard,Entire,Standard,1
12363,within a few hours,100%,63%,t,1.0,1.0,t,Nørrebro,55.6880915,12.5439274,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1378.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,28.0,58.0,77.0,352.0,14.0,8.0,3.0,172,9.0,48.0,66144.0,4.93,5.0,4.79,4.86,5.0,4.93,4.79,f,1.0,1.0,0.0,0.0,2.03,Copenhagen,Entire Standard,Entire,Standard,1
12365,within an hour,100%,97%,t,2.0,2.0,t,Amager Øst,55.65760837967164,12.623931393027306,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,773.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,0.0,16.0,17.0,252.0,38.0,25.0,2.0,74,27.0,150.0,115950.0,4.97,4.95,4.89,5.0,5.0,4.95,4.71,f,1.0,1.0,0.0,0.0,4.05,Copenhagen,Entire Standard,Entire,Standard,1
12366,within an hour,100%,100%,f,2.0,2.0,t,Nørrebro,55.68662,12.55006,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1458.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,8.0,8.0,8.0,8.0,11.0,11.0,0.0,8,6.0,66.0,96228.0,4.82,5.0,4.73,4.91,5.0,5.0,4.82,t,2.0,1.0,1.0,0.0,1.64,Copenhagen,Entire Standard,Entire,Standard,1
12367,within an hour,100%,86%,t,1.0,1.0,t,Østerbro,55.6987,12.57673,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,2,1125.0,2.0,4.0,1125.0,1125.0,2.3,1125.0,t,0.0,0.0,0.0,8.0,61.0,25.0,3.0,8,31.0,150.0,135000.0,4.97,4.98,4.98,4.93,4.98,4.97,4.92,f,1.0,1.0,0.0,0.0,2.57,Copenhagen,Entire Standard,Entire,Standard,1
12368,within an hour,100%,100%,f,2.0,2.0,t,Indre By,55.67966269999999,12.5680016,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2145.0,1,120.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,13.0,25.0,51.0,326.0,74.0,23.0,2.0,148,45.0,138.0,296010.0,4.68,4.84,4.28,4.77,4.57,4.91,4.61,t,2.0,2.0,0.0,0.0,0.4,Copenhagen,Entire Standard,Entire,Standard,1
12370,within a day,100%,39%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66987362740048,12.546772956848145,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1350.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,30.0,60.0,90.0,191.0,13.0,5.0,1.0,187,5.0,30.0,40500.0,4.77,4.92,4.46,4.54,4.92,4.85,4.46,f,1.0,1.0,0.0,0.0,1.52,Copenhagen,Entire Standard,Entire,Standard,1
12373,within a day,100%,88%,f,1.0,2.0,t,Indre By,55.687381765341286,12.5876678935887,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1200.0,3,365.0,2.0,3.0,365.0,365.0,3.0,365.0,t,8.0,8.0,8.0,8.0,17.0,7.0,1.0,8,6.0,42.0,50400.0,4.88,4.88,4.88,4.88,5.0,4.94,4.53,f,1.0,1.0,0.0,0.0,1.75,Copenhagen,Entire Standard,Entire,Standard,1
12375,within a few hours,100%,92%,t,2.0,2.0,t,Bispebjerg,55.71838258739305,12.536918385133342,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,2.0,1646.0,4,30.0,4.0,4.0,30.0,30.0,4.0,30.0,t,0.0,3.0,3.0,25.0,8.0,4.0,2.0,25,3.0,32.0,52672.0,5.0,5.0,5.0,5.0,5.0,5.0,4.88,f,2.0,1.0,1.0,0.0,5.1,Copenhagen,Entire Standard,Entire,Standard,1
12377,within a few hours,100%,100%,f,1.0,4.0,t,Nørrebro,55.698437,12.545799,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,2458.0,1,20.0,1.0,6.0,20.0,20.0,1.2,20.0,t,23.0,53.0,83.0,83.0,1.0,1.0,1.0,83,0.0,6.0,14748.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,f,1.0,1.0,0.0,0.0,2.86,Copenhagen,Entire Standard,Entire,Standard,1
