,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
1522,within a day,100%,88%,f,1.0,1.0,t,Frederiksberg,55.68324950860005,12.55365276508177,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1354.0,3,7.0,3.0,3.0,7.0,7.0,3.0,7.0,t,0.0,11.0,36.0,311.0,2.0,2.0,2.0,131,0.0,12.0,16248.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.21,Copenhagen,Entire Standard,Entire,Standard,1
1525,within a few hours,100%,64%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66472,12.54018,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,800.0,4,30.0,4.0,4.0,30.0,30.0,4.0,30.0,t,8.0,8.0,8.0,8.0,62.0,6.0,0.0,8,6.0,48.0,38400.0,4.95,4.98,4.98,4.98,5.0,4.94,4.89,f,1.0,1.0,0.0,0.0,2.17,Copenhagen,Entire Standard,Entire,Standard,1
1529,within an hour,100%,44%,f,1.0,1.0,t,Østerbro,55.69596,12.57003,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1200.0,6,40.0,6.0,6.0,40.0,40.0,6.0,40.0,t,19.0,23.0,26.0,269.0,29.0,4.0,0.0,92,4.0,48.0,57600.0,4.76,4.86,4.34,4.97,4.97,4.9,4.66,f,1.0,1.0,0.0,0.0,2.21,Copenhagen,Entire Standard,Entire,Standard,1
1534,within an hour,100%,100%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.64639,12.54698,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,3,21.0,1.0,3.0,21.0,21.0,3.0,21.0,t,9.0,14.0,17.0,17.0,61.0,6.0,1.0,17,3.0,36.0,32400.0,4.75,4.92,4.38,4.82,4.75,4.67,4.85,f,1.0,1.0,0.0,0.0,3.56,Copenhagen,Entire Standard,Entire,Standard,1
1535,within an hour,100%,85%,f,2.0,3.0,t,Amager Øst,55.66535,12.60133,Hotel,Private room,2.0,1.0,1 shared bath,1.0,2.0,495.0,2,7.0,2.0,2.0,7.0,7.0,2.0,7.0,t,0.0,6.0,6.0,6.0,416.0,49.0,1.0,6,49.0,255.0,126225.0,4.72,4.77,4.82,4.86,4.86,4.8,4.72,f,2.0,0.0,2.0,0.0,2.39,Copenhagen,Hotel,Hotel,Hotel,1
1536,within an hour,100%,100%,t,2.0,2.0,t,Amager Øst,55.6688,12.61704,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,3034.0,2,1125.0,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,7.0,21.0,34.0,220.0,90.0,20.0,4.0,74,18.0,120.0,364080.0,4.99,4.92,4.84,4.98,4.99,4.81,4.85,f,1.0,1.0,0.0,0.0,3.16,Copenhagen,Entire Standard,Entire,Standard,1
1543,within an hour,100%,100%,t,2.0,2.0,t,Nørrebro,55.70147,12.54103,Entire Luxury,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1000.0,2,1125.0,2.0,4.0,1125.0,1125.0,2.1,1125.0,t,8.0,8.0,8.0,8.0,81.0,10.0,0.0,8,9.0,60.0,60000.0,4.88,4.89,4.79,4.88,4.94,4.69,4.77,f,1.0,1.0,0.0,0.0,3.3,Copenhagen,Entire Luxury,Entire,Luxury,1
1544,within a few hours,100%,63%,f,2.0,2.0,t,Indre By,55.66909,12.58798,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1486.0,4,1125.0,1.0,4.0,1125.0,1125.0,4.0,1125.0,t,10.0,10.0,14.0,191.0,48.0,3.0,0.0,109,3.0,24.0,35664.0,4.77,4.77,4.62,4.94,4.94,5.0,4.57,f,1.0,1.0,0.0,0.0,1.46,Copenhagen,Entire Standard,Entire,Standard,1
1548,within a day,100%,50%,f,1.0,2.0,f,Amager Øst,55.66163,12.61373,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,850.0,2,19.0,1.0,2.0,19.0,19.0,2.0,19.0,t,5.0,8.0,9.0,190.0,20.0,0.0,0.0,9,0.0,0.0,0.0,4.9,4.95,4.85,4.95,4.95,4.9,4.9,f,1.0,1.0,0.0,0.0,3.27,Copenhagen,Entire Standard,Entire,Standard,1
1550,within a day,50%,27%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,55.66985,12.55059,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1411.0,4,28.0,4.0,4.0,28.0,28.0,4.0,28.0,t,20.0,29.0,57.0,237.0,28.0,3.0,0.0,153,5.0,24.0,33864.0,4.61,4.79,4.29,4.82,4.82,4.86,4.79,f,1.0,1.0,0.0,0.0,1.31,Copenhagen,Entire Standard,Entire,Standard,1
