,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
34112,within a few hours,100%,49%,t,4.0,4.0,t,Gamle Oslo,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,0.0,1556.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,28.0,58.0,84.0,355.0,6.0,6.0,6.0,88,0.0,36.0,56016.0,5.0,5.0,5.0,5.0,5.0,4.83,5.0,f,2.0,1.0,1.0,0.0,0.69,Oslo,Entire Standard,Entire,Standard,1
34113,within an hour,100%,92%,f,8.0,20.0,t,Sentrum,Hotel,Shared room,4.0,1.0,1 shared bath,1.0,4.0,367.0,1,30.0,1.0,1.0,30.0,30.0,1.0,30.0,t,20.0,50.0,80.0,80.0,5.0,5.0,2.0,80,0.0,30.0,11010.0,4.2,4.6,4.0,3.8,4.2,4.6,4.2,f,7.0,0.0,0.0,7.0,0.11,Oslo,Hotel,Hotel,Hotel,1
34114,within an hour,100%,92%,f,8.0,20.0,t,St. Hanshaugen,Hotel,Shared room,4.0,1.0,1 shared bath,1.0,4.0,365.0,1,30.0,1.0,1.0,30.0,30.0,1.0,30.0,t,20.0,49.0,79.0,79.0,6.0,6.0,0.0,79,0.0,36.0,13140.0,4.17,4.33,4.5,4.5,4.5,4.67,4.17,f,7.0,0.0,0.0,7.0,0.12,Oslo,Hotel,Hotel,Hotel,1
34115,within an hour,100%,92%,f,8.0,20.0,t,St. Hanshaugen,Hotel,Shared room,4.0,1.0,1 shared bath,1.0,4.0,370.0,1,30.0,1.0,1.0,30.0,30.0,1.0,30.0,t,20.0,49.0,79.0,79.0,4.0,4.0,1.0,79,0.0,24.0,8880.0,3.25,3.75,3.0,2.5,4.0,4.75,3.5,f,7.0,0.0,0.0,7.0,0.04,Oslo,Hotel,Hotel,Hotel,1
34116,within a few hours,100%,17%,f,2.0,2.0,t,Grünerløkka,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,1219.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,27.0,57.0,87.0,177.0,0.0,0.0,0.0,91,0.0,0.0,0.0,4.859600761450957,4.8677376361282105,4.768430009605201,4.856116400033392,4.913844440170165,4.849071665315914,4.732586135622388,f,2.0,1.0,1.0,0.0,0.71,Oslo,Hotel,Hotel,Hotel,0
34117,within a few hours,100%,79%,f,1.0,1.0,t,Gamle Oslo,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,566.0,1,7.0,1.0,1.0,7.0,7.0,1.0,7.0,t,20.0,50.0,80.0,355.0,14.0,14.0,2.0,84,0.0,84.0,47544.0,4.86,5.0,4.64,4.86,5.0,4.86,4.79,f,1.0,0.0,1.0,0.0,1.83,Oslo,Hotel,Hotel,Hotel,1
34118,within an hour,100%,33%,f,2.0,2.0,t,Gamle Oslo,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1771.0,15,60.0,15.0,15.0,60.0,60.0,15.0,60.0,t,28.0,58.0,88.0,363.0,0.0,0.0,0.0,92,0.0,0.0,0.0,4.775886603863413,4.810268913274384,4.692480955719576,4.883313597693395,4.865372042806877,4.891075846205358,4.702417377240728,f,2.0,1.0,1.0,0.0,2.73,Oslo,Entire Standard,Entire,Standard,0
34119,within an hour,100%,62%,f,1.0,1.0,t,Sagene,Entire Standard,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,723.0,2,365.0,2.0,5.0,365.0,365.0,2.1,365.0,t,0.0,5.0,27.0,75.0,3.0,3.0,1.0,31,0.0,18.0,13014.0,5.0,5.0,5.0,4.67,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.64,Oslo,Entire Standard,Entire,Standard,1
34120,within a few hours,90%,65%,f,1.0,1.0,t,Gamle Oslo,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1175.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,0.0,0.0,15.0,287.0,6.0,6.0,1.0,19,0.0,36.0,42300.0,5.0,4.83,5.0,5.0,5.0,4.83,5.0,f,1.0,1.0,0.0,0.0,1.25,Oslo,Entire Standard,Entire,Standard,1
34121,within a few hours,100%,50%,f,1.0,1.0,f,Grünerløkka,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,966.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,20.0,50.0,80.0,80.0,0.0,0.0,0.0,80,0.0,0.0,0.0,4.862794098679001,4.887780523897914,4.808892764365308,4.881677205460743,4.926836896038965,4.854974872006679,4.798823673587079,f,1.0,1.0,0.0,0.0,1.16,Oslo,Entire Standard,Entire,Standard,0
